,event_id,investigation_type,event_date,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,event_year,injuries_reported
68821,20100829X10140,Accident,2010-08-28,United States,Non-Fatal,Substantial,Airplane,piper,PA-15,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,2010,True
68825,20100901X22656,Accident,2010-08-28,United States,Non-Fatal,Substantial,Airplane,cessna,TR182,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68830,20100829X13951,Accident,2010-08-29,United States,Non-Fatal,Destroyed,Airplane,cessna,120,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68831,20100830X00534,Accident,2010-08-29,United States,Non-Fatal,Substantial,Airplane,cessna,TU206F,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
68837,20100830X30919,Accident,2010-08-30,United States,Fatal,Substantial,Airplane,cessna,182C,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,,2010,True
68847,20100902X35148,Accident,2010-08-31,United States,Non-Fatal,Substantial,Airplane,cessna,210,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,2010,True
68857,20100903X21857,Accident,2010-09-02,United States,Non-Fatal,Substantial,Airplane,piper,PA-20,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68866,20100910X62618,Accident,2010-09-03,United States,Non-Fatal,Substantial,Airplane,cessna,150C,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
68870,20100904X54109,Accident,2010-09-04,United States,Fatal,Substantial,Airplane,cessna,150H,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,,2010,True
68872,20100906X43338,Accident,2010-09-04,United States,Non-Fatal,Substantial,Airplane,cessna,182Q,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,2010,True
68882,20100906X32724,Accident,2010-09-06,United States,Fatal,Substantial,Airplane,piper,PA-32RT-300,No,1.0,Reciprocating,Personal,2.0,0.0,2.0,0.0,VMC,,2010,True
68883,20100907X44720,Accident,2010-09-06,United States,Non-Fatal,Substantial,Airplane,cessna,140,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,,2010,True
68887,20100913X45606,Accident,2010-09-06,United States,Non-Fatal,Substantial,Airplane,cessna,A188B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68888,20100913X70053,Accident,2010-09-06,United States,Non-Fatal,Substantial,Airplane,piper,PA-18-160,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68889,20101001X40122,Accident,2010-09-06,United States,Non-Fatal,Substantial,Airplane,cessna,A185,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,,2010,True
68890,20100907X72216,Accident,2010-09-07,United States,Fatal,Substantial,Airplane,cessna,T210,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,,2010,True
68891,20100908X65049,Accident,2010-09-07,United States,Non-Fatal,Substantial,Airplane,piper,PA-28-235,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68894,20100908X05150,Accident,2010-09-08,United States,Fatal,Substantial,Airplane,cessna,182T,No,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,IMC,,2010,True
68897,20100909X65425,Accident,2010-09-09,United States,Non-Fatal,Substantial,Airplane,piper,PA-28-161,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68898,20100909X75726,Accident,2010-09-09,United States,Non-Fatal,Substantial,Airplane,cessna,180,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,2010,True
68899,20100910X10535,Accident,2010-09-09,United States,Non-Fatal,Substantial,Airplane,piper,PA-28-181,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,2010,True
68901,20100922X21812,Accident,2010-09-09,United States,Non-Fatal,Substantial,Airplane,piper,PA-18-150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
68903,20100912X42115,Accident,2010-09-10,United States,Non-Fatal,Substantial,Airplane,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,,2010,True
68904,20100912X91459,Incident,2010-09-10,United States,Non-Fatal,Minor,Airplane,embraer,500,No,2.0,Turbo Fan,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
68907,20100913X14749,Accident,2010-09-11,United States,Non-Fatal,Substantial,Airplane,piper,PA-20,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68908,20100913X20146,Accident,2010-09-11,United States,Non-Fatal,Substantial,Airplane,piper,PA-22-150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68912,20100916X32205,Accident,2010-09-11,United States,Non-Fatal,Substantial,Airplane,piper,J5A,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,2010,True
68913,20100917X83854,Accident,2010-09-11,United States,Non-Fatal,Substantial,Airplane,piper,PA22,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,2010,True
68915,20100912X64456,Accident,2010-09-12,United States,Non-Fatal,Substantial,Airplane,piper,PA46-310P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,,2010,True
68917,20100913X45529,Accident,2010-09-12,United States,Non-Fatal,Substantial,Airplane,cessna,185A,No,1.0,Reciprocating,Personal,0.0,3.0,1.0,0.0,VMC,,2010,True
68919,20100914X82609,Accident,2010-09-12,United States,Non-Fatal,Substantial,Airplane,cessna,150L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
68923,20100915X61435,Accident,2010-09-13,United States,Non-Fatal,Substantial,Airplane,cessna,A185F,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68925,20101018X25006,Accident,2010-09-13,United States,Non-Fatal,Substantial,Airplane,piper,PA-12,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68926,20100914X32027,Accident,2010-09-14,United States,Non-Fatal,Substantial,Airplane,cessna,150M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68927,20100914X53827,Accident,2010-09-14,United States,Non-Fatal,Substantial,Airplane,cessna,182S,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68930,20100916X63553,Accident,2010-09-15,United States,Non-Fatal,Substantial,Airplane,cessna,T310R,No,2.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,2010,True
68937,20100916X72850,Accident,2010-09-16,United States,Non-Fatal,Substantial,Airplane,piper,PA-18,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,,2010,True
68940,20100917X34608,Accident,2010-09-17,United States,Fatal,Substantial,Airplane,cessna,T210N,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,,2010,True
68941,20100920X01223,Accident,2010-09-17,United States,Non-Fatal,Substantial,Airplane,piper,PA-18-150,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,2010,True
68950,20100923X95110,Accident,2010-09-18,United States,Non-Fatal,Substantial,Airplane,cessna,172D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
68954,20100919X50413,Accident,2010-09-19,United States,Non-Fatal,Substantial,Airplane,piper,PA-28R-200,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
68957,20100919X85738,Accident,2010-09-19,United States,Non-Fatal,Substantial,Airplane,piper,PA-28-161,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68958,20100920X12844,Accident,2010-09-19,United States,Non-Fatal,Substantial,Airplane,piper,PA-17,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
68964,20100921X33423,Accident,2010-09-20,United States,Non-Fatal,Substantial,Airplane,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,2010,True
68965,20100921X95939,Accident,2010-09-20,United States,Non-Fatal,Substantial,Airplane,cessna,182D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,,2010,True
68972,20100923X43407,Accident,2010-09-21,United States,Non-Fatal,Substantial,Airplane,piper,PA-18-150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
68976,20100923X42153,Accident,2010-09-22,United States,Non-Fatal,Substantial,Airplane,piper,PA-28-161,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
68980,20100927X44941,Accident,2010-09-22,United States,Non-Fatal,Substantial,Airplane,cessna,172S,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,2010,True
68984,20101029X05315,Accident,2010-09-23,United States,Non-Fatal,Substantial,Airplane,piper,PA34,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68985,20100924X30155,Accident,2010-09-24,United States,Fatal,Destroyed,Airplane,piper,PA-44-180,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,,2010,True
68989,20100925X03544,Accident,2010-09-24,United States,Non-Fatal,Substantial,Airplane,piper,PA-18-150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68990,20100927X40128,Accident,2010-09-24,United States,Non-Fatal,Substantial,Airplane,cessna,180C,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
68992,20100928X51519,Accident,2010-09-24,United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
68995,20100925X02732,Accident,2010-09-25,United States,Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Personal,2.0,0.0,1.0,0.0,VMC,,2010,True
68999,20100929X30511,Accident,2010-09-25,United States,Non-Fatal,Destroyed,Airplane,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69000,20100929X65334,Accident,2010-09-25,United States,Non-Fatal,Substantial,Airplane,cessna,172S,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69003,20100926X33046,Accident,2010-09-26,United States,Fatal,Substantial,Airplane,cessna,150F,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,,2010,True
69005,20100927X04028,Accident,2010-09-26,United States,Non-Fatal,Substantial,Airplane,cessna,195,No,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69006,20100927X70141,Accident,2010-09-26,United States,Non-Fatal,Substantial,Airplane,cessna,310K,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69009,20100927X60228,Accident,2010-09-27,United States,Fatal,Substantial,Airplane,beechcraft,F33,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,2010,True
69010,20100927X72556,Accident,2010-09-27,United States,Non-Fatal,Substantial,Airplane,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,2010,True
69012,20100928X90000,Accident,2010-09-28,United States,Non-Fatal,Substantial,Airplane,cessna,310R,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69014,20100930X02655,Accident,2010-09-28,United States,Non-Fatal,Substantial,Airplane,cessna,172M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69015,20100930X11103,Accident,2010-09-28,United States,Non-Fatal,Substantial,Airplane,cessna,T182T,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69018,20100930X14536,Accident,2010-09-29,United States,Non-Fatal,Substantial,Airplane,cessna,172B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69020,20101104X75554,Accident,2010-09-29,United States,Non-Fatal,Substantial,Airplane,piper,PA-18-150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69024,20101001X13012,Accident,2010-09-30,United States,Non-Fatal,Substantial,Airplane,piper,PA-46-350P,No,1.0,Turbo Prop,Business,0.0,0.0,0.0,5.0,VMC,,2010,True
69025,20101006X50226,Incident,2010-09-30,United Kingdom,Non-Fatal,,,cessna,680,No,,,Business,0.0,0.0,0.0,8.0,,,2010,True
69027,20101001X13003,Accident,2010-10-01,United States,Non-Fatal,Substantial,Airplane,cessna,550,No,2.0,Turbo Jet,Executive/corporate,0.0,7.0,0.0,0.0,IMC,,2010,True
69028,20101004X11133,Incident,2010-10-01,United States,Non-Fatal,Minor,Airplane,gulfstream,G-IV,No,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,11.0,IMC,,2010,True
69030,20101001X52909,Accident,2010-10-01,United States,Non-Fatal,Substantial,Airplane,cessna,150F,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69033,20101004X44844,Accident,2010-10-01,United States,Non-Fatal,Substantial,Airplane,cessna,310J,No,2.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,2010,True
69037,20101003X41532,Accident,2010-10-02,United States,Non-Fatal,Substantial,Airplane,piper,PA-12,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69044,20101019X41128,Accident,2010-10-02,United States,Non-Fatal,Substantial,Airplane,cessna,182Q,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69045,20101003X04946,Accident,2010-10-03,United States,Non-Fatal,Substantial,Airplane,cessna,310,No,2.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,IMC,,2010,True
69046,20101003X43835,Accident,2010-10-03,United States,Non-Fatal,Substantial,Airplane,cessna,172D,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,2010,True
69047,20101003X44034,Accident,2010-10-03,United States,Non-Fatal,Substantial,Airplane,cessna,170B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69052,20101006X65829,Accident,2010-10-05,Bahamas,Fatal,Substantial,Airplane,cessna,402,No,,Reciprocating,Unknown,9.0,0.0,0.0,0.0,VMC,,2010,True
69053,20101006X70849,Accident,2010-10-05,United States,Non-Fatal,Substantial,Airplane,cessna,182P,No,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,VMC,,2010,True
69055,20101006X41012,Accident,2010-10-06,United States,Non-Fatal,Substantial,Airplane,piper,PA-32R-300,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,,2010,True
69061,20101008X84830,Accident,2010-10-08,United States,Non-Fatal,Substantial,Airplane,piper,PA28,No,1.0,Reciprocating,Personal,0.0,4.0,0.0,0.0,VMC,,2010,True
69062,20101009X62708,Accident,2010-10-08,United States,Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,,2010,True
69064,20101012X82340,Accident,2010-10-08,United States,Non-Fatal,Substantial,Airplane,cessna,175C,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,2010,True
69065,20101013X94624,Accident,2010-10-08,United States,Non-Fatal,Substantial,Airplane,piper,PA-32R-300,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69070,20101011X84816,Accident,2010-10-10,United States,Non-Fatal,Substantial,Airplane,cessna,172SP,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69077,20101012X90333,Accident,2010-10-11,United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69081,20101013X62218,Accident,2010-10-12,United States,Non-Fatal,Substantial,Airplane,boeing,A75N1(PT17),No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69094,20101021X73016,Accident,2010-10-15,Colombia,Fatal,Destroyed,,cessna,172N,No,,,Unknown,4.0,0.0,0.0,0.0,,,2010,True
69095,20101026X33940,Accident,2010-10-15,United States,Non-Fatal,Substantial,Airplane,cessna,182K,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69105,20101018X84634,Accident,2010-10-17,United States,Non-Fatal,Substantial,Airplane,cessna,180,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,2010,True
69106,20101022X22024,Accident,2010-10-17,United States,Non-Fatal,Substantial,Airplane,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69107,20101022X62831,Accident,2010-10-17,United States,Non-Fatal,Substantial,Airplane,boeing,PT17,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69116,20101020X41300,Accident,2010-10-18,Australia,Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,,2010,True
69119,20101022X02251,Accident,2010-10-19,United States,Non-Fatal,Substantial,Airplane,cessna,182L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69120,20101025X42125,Accident,2010-10-19,United States,Non-Fatal,Substantial,Airplane,cessna,195,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69121,20101021X71005,Accident,2010-10-20,Colombia,Fatal,Destroyed,Airplane,cessna,TU206G,No,1.0,,Unknown,5.0,0.0,0.0,0.0,VMC,,2010,True
69122,20101022X34123,Accident,2010-10-20,United States,Non-Fatal,Substantial,Airplane,boeing,A75,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,,2010,True
69132,20101023X35000,Accident,2010-10-22,United States,Non-Fatal,Substantial,Airplane,cessna,185,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,2010,True
69134,20101023X94911,Accident,2010-10-23,United States,Non-Fatal,Substantial,Airplane,piper,PA-28-236,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,IMC,,2010,True
69136,20101024X70145,Accident,2010-10-23,United States,Non-Fatal,Substantial,Airplane,cessna,340A,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69140,20111108X10934,Accident,2010-10-23,Kenya,Fatal,Substantial,Airplane,piper,PA32 - 301,No,,,Personal,1.0,0.0,0.0,0.0,,,2010,True
69141,20101025X62019,Accident,2010-10-25,United States,Non-Fatal,Substantial,Airplane,cessna,T210N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
69142,20101025X62111,Accident,2010-10-25,United States,Fatal,Substantial,Airplane,cessna,340A,No,2.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC,,2010,True
69147,20101027X85534,Accident,2010-10-27,United States,Non-Fatal,Substantial,Airplane,piper,PA-31-350,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69148,20101029X33606,Accident,2010-10-27,United States,Non-Fatal,Substantial,Airplane,piper,PA-22-150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69150,20101028X12506,Accident,2010-10-28,United States,Fatal,Substantial,Airplane,cessna,210A,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,,2010,True
69152,20101029X90146,Accident,2010-10-28,United States,Non-Fatal,Substantial,Airplane,piper,PA-28-151,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69153,20101105X05553,Accident,2010-10-28,United States,Non-Fatal,Substantial,Airplane,cessna,177RG,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,2010,True
69154,20101030X52655,Accident,2010-10-29,United States,Non-Fatal,Substantial,Airplane,piper,PA46-500TP,No,1.0,Turbo Prop,Personal,0.0,0.0,0.0,3.0,VMC,,2010,True
69161,20101102X04530,Accident,2010-10-29,United States,Non-Fatal,Substantial,Airplane,piper,PA-32R-301T,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,2010,True
