,event_id,investigation_type,event_date,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,event_year,injuries_reported
29671,20001211X14031,Accident,1992-01-01,United States,Non-Fatal,Substantial,,cessna,182Q,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Approach,1992,True
29674,20001211X13995,Accident,1992-01-02,United States,Fatal(2),Destroyed,,cessna,182R,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UNK,Takeoff,1992,True
29675,20001211X13955,Accident,1992-01-02,United States,Fatal(1),Destroyed,,piper,PA-31P,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Maneuvering,1992,True
29678,20001211X13926,Accident,1992-01-02,United States,Non-Fatal,Substantial,,piper,PA-18,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Maneuvering,1992,True
29679,20001211X13978,Incident,1992-01-03,United States,Incident,Minor,,boeing,737-300,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,127.0,VMC,Climb,1992,True
29683,20001211X13996,Accident,1992-01-04,United States,Fatal(4),Destroyed,,cessna,421C,No,2.0,Reciprocating,Personal,4.0,2.0,0.0,0.0,IMC,Climb,1992,True
29685,20001211X13976,Accident,1992-01-04,United States,Fatal(3),Destroyed,,cessna,421B,No,2.0,Reciprocating,Personal,3.0,4.0,1.0,1.0,IMC,Descent,1992,True
29687,20001211X14047,Accident,1992-01-04,United States,Non-Fatal,Substantial,,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,1992,True
29692,20001211X13944,Accident,1992-01-04,United States,Non-Fatal,Substantial,,piper,PA-38-112,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Go-around,1992,True
29694,20001211X13948,Accident,1992-01-05,United States,Non-Fatal,Destroyed,,piper,PA-32R-300,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,2.0,VMC,Takeoff,1992,True
29695,20001211X13954,Accident,1992-01-05,United States,Fatal(2),Substantial,,piper,PA-18-125,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,1992,True
29696,20001211X13927,Accident,1992-01-06,United States,Non-Fatal,Substantial,,cessna,180,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,1992,True
29699,20001211X13945,Accident,1992-01-06,United States,Non-Fatal,Substantial,,piper,PA-28-151,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Approach,1992,True
29700,20001211X13985,Incident,1992-01-07,United States,Incident,Minor,,boeing,737-232,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,49.0,VMC,Takeoff,1992,True
29703,20001211X13933,Accident,1992-01-08,United States,Fatal(1),,,cessna,177B,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,2.0,IMC,Standing,1992,True
29704,20001211X13928,Accident,1992-01-08,United States,Non-Fatal,Substantial,,cessna,206,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,1992,True
29705,20001211X14007,Accident,1992-01-08,United States,Non-Fatal,Substantial,,cessna,172H,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,1992,True
29706,20001211X14022,Accident,1992-01-09,Japan,Non-Fatal,,,boeing,747-100,No,4.0,Turbo Fan,Unknown,0.0,1.0,0.0,234.0,VMC,,1992,True
29707,20001211X14052,Accident,1992-01-09,United States,Non-Fatal,Substantial,,cessna,207,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Descent,1992,True
29708,20001211X13929,Accident,1992-01-09,United States,Non-Fatal,Substantial,,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1992,True
29709,20001211X13960,Accident,1992-01-10,United States,Non-Fatal,Substantial,,cessna,182,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,1992,True
29710,20001211X14024,Accident,1992-01-11,United States,Fatal(2),Destroyed,,cessna,150L,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,1992,True
29711,20001211X14023,Accident,1992-01-11,United States,Fatal(1),Destroyed,,cessna,402B,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Cruise,1992,True
29712,20001211X13998,Accident,1992-01-11,United States,Fatal(7),Destroyed,,cessna,425,No,2.0,Turbo Prop,Personal,7.0,0.0,0.0,0.0,VMC,Cruise,1992,True
29714,20001211X14014,Accident,1992-01-11,United States,Non-Fatal,Substantial,,cessna,T210M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Taxi,1992,True
29719,20001211X13934,Accident,1992-01-11,United States,Non-Fatal,Substantial,,cessna,172G,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,1992,True
29722,20001211X14009,Accident,1992-01-12,United States,Non-Fatal,Substantial,,cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,IMC,Cruise,1992,True
29725,20001211X13936,Accident,1992-01-12,United States,Non-Fatal,Substantial,,piper,PA-22-150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1992,True
29726,20001211X13931,Accident,1992-01-13,ATLANTIC OCEAN,Fatal(5),Destroyed,,cessna,421C,No,2.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,IMC,Cruise,1992,True
29727,20001211X14034,Accident,1992-01-13,ATLANTIC OCEAN,Fatal(1),Substantial,,cessna,172G,No,1.0,Reciprocating,Public Aircraft,1.0,0.0,1.0,0.0,VMC,Cruise,1992,True
29728,20001211X14025,Accident,1992-01-13,United States,Fatal(2),Destroyed,,piper,PA-28-161,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Cruise,1992,True
29729,20001211X13999,Accident,1992-01-13,United States,Fatal(2),Destroyed,,cessna,T210L,No,1.0,Reciprocating,Unknown,2.0,3.0,0.0,0.0,VMC,Cruise,1992,True
29730,20001211X14049,Accident,1992-01-13,United States,Non-Fatal,Substantial,,cessna,150L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,1992,True
29731,20001211X13961,Accident,1992-01-13,United States,Non-Fatal,Substantial,,piper,PA-23-150,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,1992,True
29732,20001211X13947,Accident,1992-01-13,United States,Non-Fatal,Substantial,,piper,PA-46-350P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,IMC,Takeoff,1992,True
29734,20001211X14010,Accident,1992-01-14,United States,Fatal(5),Destroyed,,cessna,310Q,No,2.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,IMC,Cruise,1992,True
29736,20001211X13988,Accident,1992-01-14,United States,Non-Fatal,Substantial,,cessna,205A,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Cruise,1992,True
29738,20001211X13924,Incident,1992-01-15,United States,Incident,Minor,,cessna,207,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,6.0,VMC,Takeoff,1992,True
29741,20001211X13932,Accident,1992-01-16,United States,Fatal(2),Substantial,,cessna,140,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Takeoff,1992,True
29742,20001211X13949,Accident,1992-01-17,United States,Non-Fatal,Substantial,,cessna,182-D,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,1992,True
29747,20001211X13972,Accident,1992-01-18,United States,Non-Fatal,Substantial,,cessna,182P,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1992,True
29748,20001211X13963,Accident,1992-01-18,United States,Non-Fatal,Substantial,,cessna,177RG,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,1992,True
29749,20001211X14045,Incident,1992-01-19,United States,Incident,Minor,,piper,PA-28R-200,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,3.0,VMC,Cruise,1992,True
29751,20001211X13973,Accident,1992-01-19,United States,Non-Fatal,Substantial,,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1992,True
29752,20001211X13966,Accident,1992-01-19,United States,Non-Fatal,Substantial,,cessna,414,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,IMC,Takeoff,1992,True
29753,20001211X13965,Accident,1992-01-19,United States,Non-Fatal,Substantial,,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,1992,True
29754,20001211X13964,Accident,1992-01-19,United States,Non-Fatal,Substantial,,cessna,175,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,1992,True
29755,20001211X13975,Accident,1992-01-20,France,Fatal(87),Destroyed,,airbus,A320,No,0.0,Unknown,Unknown,87.0,5.0,4.0,0.0,IMC,,1992,True
29756,20001211X14013,Accident,1992-01-20,United States,Non-Fatal,Substantial,,cessna,120,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,1992,True
29764,20001211X14029,Incident,1992-01-23,United States,Incident,,,boeing,757-23APF,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,3.0,IMC,Descent,1992,True
29765,20001211X14026,Accident,1992-01-23,United States,Fatal(2),Destroyed,,cessna,402-C,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Descent,1992,True
29766,20001211X14015,Accident,1992-01-23,United States,Non-Fatal,Substantial,,piper,PA-30,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1992,True
29767,20001211X13950,Accident,1992-01-23,United States,Non-Fatal,Substantial,,piper,PA-34-200T,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Climb,1992,True
29769,20001211X14017,Accident,1992-01-24,United States,Non-Fatal,Substantial,,piper,PA-31P,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1992,True
29770,20001211X14001,Accident,1992-01-25,United States,Fatal(4),Destroyed,,piper,PA28-161,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Unknown,1992,True
29773,20001211X13969,Accident,1992-01-25,United States,Non-Fatal,Substantial,,cessna,182,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Taxi,1992,True
29781,20001211X14027,Accident,1992-01-28,United States,Fatal(3),Destroyed,,cessna,337,No,2.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Cruise,1992,True
29782,20001211X13925,Incident,1992-01-28,United States,Incident,Minor,,piper,PA-31-T3,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,7.0,IMC,Taxi,1992,True
29783,20001211X14019,Accident,1992-01-28,United States,Fatal(1),Substantial,,cessna,170B,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Maneuvering,1992,True
29785,20001211X14044,Accident,1992-01-29,United States,Fatal(1),Destroyed,,cessna,182R,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1992,True
29786,20001211X14043,Accident,1992-01-29,United States,Fatal(2),Destroyed,,piper,PA-23-180,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UNK,Cruise,1992,True
29787,20001211X14041,Accident,1992-01-29,Bahamas,Non-Fatal,Destroyed,,piper,PA-34-200,No,0.0,Unknown,Personal,0.0,0.0,0.0,2.0,VMC,,1992,True
29793,20001211X13953,Accident,1992-01-30,United States,Non-Fatal,Substantial,,piper,PA-46,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,2.0,VMC,Takeoff,1992,True
29795,20001211X13984,Accident,1992-01-31,United States,Fatal(2),Destroyed,,cessna,182,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Descent,1992,True
29797,20001211X13957,Accident,1992-01-31,United States,Fatal(3),Destroyed,,piper,PA-31T,No,2.0,Turbo Prop,Business,3.0,0.0,0.0,0.0,IMC,Takeoff,1992,True
29801,20001211X14148,Incident,1992-02-01,United States,Incident,Minor,,piper,PA-28-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Standing,1992,True
29804,20001211X14066,Accident,1992-02-01,United States,Non-Fatal,Substantial,,cessna,T210L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,1992,True
29806,20001211X14109,Accident,1992-02-02,United States,Non-Fatal,Substantial,,cessna,150L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Go-around,1992,True
29807,20001211X14082,Accident,1992-02-02,United States,Non-Fatal,Substantial,,cessna,170,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1992,True
29808,20001211X14081,Accident,1992-02-02,United States,Non-Fatal,Substantial,,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Landing,1992,True
29809,20001211X14080,Accident,1992-02-02,United States,Non-Fatal,Substantial,,piper,PA-32R-300,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,Cruise,1992,True
29813,20001211X14124,Accident,1992-02-03,United States,Non-Fatal,Substantial,,cessna,150D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1992,True
29814,20001211X14110,Accident,1992-02-03,United States,Non-Fatal,Substantial,,cessna,172RG,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Approach,1992,True
29818,20001211X14054,Accident,1992-02-04,United States,Non-Fatal,Substantial,,piper,PA-32-300,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,1992,True
29822,20001211X14128,Accident,1992-02-05,United States,Non-Fatal,Substantial,,piper,PA-28-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1992,True
29824,20001211X14162,Accident,1992-02-06,United States,Non-Fatal,Substantial,,piper,J3-C65,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Descent,1992,True
29825,20001211X14099,Accident,1992-02-06,United States,Non-Fatal,Substantial,,piper,PA-30,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1992,True
29827,20001211X14083,Accident,1992-02-06,United States,Non-Fatal,Substantial,,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,1992,True
29828,20001211X14119,Accident,1992-02-07,United States,Fatal(2),Destroyed,,cessna,150H,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,1992,True
29830,20001211X14153,Accident,1992-02-07,United States,Non-Fatal,Substantial,,piper,PA-28-161,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Maneuvering,1992,True
29833,20001211X14149,Incident,1992-02-08,United States,Incident,Minor,,boeing,767-323ER,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,461.0,VMC,Takeoff,1992,True
29838,20001211X14057,Accident,1992-02-08,United States,Non-Fatal,Substantial,,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,1992,True
29840,20001211X14170,Accident,1992-02-09,United States,Non-Fatal,Substantial,,piper,PA-32R-301,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Climb,1992,True
29841,20001211X14156,Accident,1992-02-09,United States,Non-Fatal,Substantial,,piper,PA-32-260,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1992,True
29845,20001211X14101,Accident,1992-02-09,United States,Non-Fatal,Substantial,,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,Maneuvering,1992,True
29848,20001211X14150,Incident,1992-02-09,Puerto Rico,Incident,Minor,,boeing,727-214A,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,157.0,VMC,Takeoff,1992,True
29849,20001211X14106,Accident,1992-02-10,United States,Fatal(2),Destroyed,,cessna,210G,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Descent,1992,True
29850,20001211X14157,Accident,1992-02-10,United States,Non-Fatal,Substantial,,piper,PA-28-161,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,1992,True
29862,20001211X14085,Accident,1992-02-13,United States,Non-Fatal,Substantial,,cessna,414,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,4.0,IMC,Landing,1992,True
29864,20001211X14058,Accident,1992-02-13,United States,Non-Fatal,Substantial,,piper,PA-18A-150,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Approach,1992,True
29865,20001211X14165,Accident,1992-02-14,United States,Fatal(3),Destroyed,,piper,PA-32-301,No,1.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC,Maneuvering,1992,True
29868,20001211X14171,Accident,1992-02-14,United States,Non-Fatal,Substantial,,piper,PA60-700P,No,2.0,Reciprocating,Business,0.0,0.0,0.0,6.0,IMC,Landing,1992,True
29870,20001211X14061,Accident,1992-02-14,United States,Non-Fatal,Substantial,,cessna,180,No,1.0,Reciprocating,Personal,0.0,1.0,3.0,0.0,IMC,Descent,1992,True
29872,20001211X14178,Accident,1992-02-15,United States,Non-Fatal,Minor,,cessna,172M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Taxi,1992,True
29876,20001211X14172,Accident,1992-02-15,United States,Non-Fatal,Substantial,,piper,PA-22-20,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Takeoff,1992,True
29880,20001211X14182,Accident,1992-02-16,United States,Fatal(2),Destroyed,,cessna,150M,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,1992,True
29882,20001211X14120,Accident,1992-02-16,United States,Fatal(7),Destroyed,,piper,PA-31T-II,No,2.0,Turbo Prop,Personal,7.0,0.0,0.0,0.0,IMC,Maneuvering,1992,True
29884,20001211X14167,Accident,1992-02-16,United States,Fatal(1),Substantial,,cessna,150,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,1992,True
29886,20001211X14113,Accident,1992-02-16,United States,Non-Fatal,Substantial,,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,1992,True
29887,20001211X14072,Accident,1992-02-17,United States,Non-Fatal,Substantial,,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,1992,True
29888,20001211X14071,Accident,1992-02-17,United States,Non-Fatal,Substantial,,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,1992,True
29890,20001211X14067,Accident,1992-02-18,United States,Fatal(2),Substantial,,piper,PA-28R-200,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,Approach,1992,True
29892,20001211X14187,Accident,1992-02-20,United States,Non-Fatal,Substantial,,cessna,182D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,1992,True
29893,20001211X14173,Accident,1992-02-20,United States,Non-Fatal,Substantial,,cessna,150D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1992,True
29894,20001211X14087,Accident,1992-02-20,United States,Non-Fatal,Substantial,,cessna,340A,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1992,True
29895,20001211X14073,Accident,1992-02-20,United States,Non-Fatal,Substantial,,piper,PA32-300,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,1992,True
29897,20001211X14089,Accident,1992-02-21,United States,Non-Fatal,Substantial,,cessna,T210M,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Cruise,1992,True
29902,20001211X14174,Accident,1992-02-22,United States,Non-Fatal,Substantial,,piper,PA-32-300,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,1992,True
29905,20001211X14107,Accident,1992-02-22,United States,Non-Fatal,Substantial,,cessna,150,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Maneuvering,1992,True
29907,20001211X14078,Accident,1992-02-23,United States,Fatal(1),Destroyed,,piper,PA-28-160,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1992,True
29909,20001211X14190,Accident,1992-02-23,United States,Non-Fatal,Substantial,,cessna,180,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Landing,1992,True
29912,20001211X14175,Accident,1992-02-23,United States,Non-Fatal,Substantial,,cessna,305A,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,1992,True
29915,20001211X14104,Accident,1992-02-23,United States,Non-Fatal,Substantial,,cessna,177RG,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,1992,True
29917,20001211X14168,Accident,1992-02-24,United States,Fatal(1),Destroyed,,cessna,310K,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC,Approach,1992,True
29922,20001211X14123,Accident,1992-02-26,United States,Fatal(2),Destroyed,,cessna,T210N,No,1.0,Reciprocating,Public Aircraft,2.0,0.0,0.0,0.0,VMC,Cruise,1992,True
29926,20001211X14189,Accident,1992-02-27,United States,Non-Fatal,Substantial,,cessna,150L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,1992,True
29928,20001211X14065,Accident,1992-02-28,United States,Non-Fatal,Substantial,,cessna,207A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Cruise,1992,True
29931,20001211X14093,Accident,1992-02-28,United States,Non-Fatal,Substantial,,cessna,340,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,1992,True
29932,20001211X14092,Accident,1992-02-28,United States,Non-Fatal,Substantial,,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,1992,True
29933,20001211X14088,Accident,1992-02-28,United States,Non-Fatal,Substantial,,cessna,182B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Cruise,1992,True
29937,20001211X14144,Accident,1992-02-29,United States,Non-Fatal,Substantial,,cessna,195A,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,1992,True
29941,20001211X14064,Accident,1992-02-29,United States,Non-Fatal,Substantial,,piper,PA-18A-135,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,1992,True
29942,20001211X14332,Incident,1992-03-01,United States,Incident,Minor,,cessna,402C,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,4.0,VMC,Landing,1992,True
29945,20001211X14344,Accident,1992-03-01,United States,Non-Fatal,Substantial,,piper,PA-22-150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1992,True
29951,20001211X14208,Accident,1992-03-01,United States,Non-Fatal,Substantial,,cessna,172I,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,1992,True
29952,20001211X14304,Accident,1992-03-01,PACIFIC OCEAN,Fatal(2),Destroyed,,cessna,172D,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,1992,True
29957,20001211X14206,Accident,1992-03-02,United States,Fatal(2),Substantial,,cessna,172P,No,1.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,VMC,Takeoff,1992,True
29961,20001211X14210,Accident,1992-03-03,United States,Non-Fatal,Substantial,,cessna,172L,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,Cruise,1992,True
29964,20001211X14305,Accident,1992-03-04,United States,Fatal(2),Destroyed,,cessna,150,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,1992,True
29966,20001211X14236,Accident,1992-03-04,United States,Non-Fatal,Substantial,,cessna,195,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,1992,True
29967,20001211X14272,Accident,1992-03-05,United States,Fatal(6),Destroyed,,mitsubishi,MU-2B-60,No,2.0,Turbo Prop,Personal,6.0,0.0,0.0,0.0,VMC,Approach,1992,True
29968,20001211X14253,Accident,1992-03-05,United States,Fatal(3),Destroyed,,cessna,414,No,2.0,Reciprocating,Unknown,3.0,0.0,0.0,0.0,IMC,Standing,1992,True
29969,20001211X14237,Accident,1992-03-05,United States,Non-Fatal,Destroyed,,piper,PA-28R-201T,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Landing,1992,True
29972,20001211X14230,Accident,1992-03-06,United States,Fatal(2),Destroyed,,piper,PA-23-250,No,2.0,Reciprocating,Executive/corporate,2.0,0.0,0.0,0.0,IMC,Go-around,1992,True
29973,20001211X14229,Accident,1992-03-06,United States,Fatal(2),Destroyed,,cessna,210K,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Approach,1992,True
29979,20001211X14238,Accident,1992-03-07,United States,Non-Fatal,Substantial,,piper,PA-31-350,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,IMC,Cruise,1992,True
29987,20001211X14292,Accident,1992-03-08,United States,Non-Fatal,Substantial,,cessna,172P,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Landing,1992,True
29988,20001211X14336,Accident,1992-03-08,United States,Non-Fatal,Substantial,,cessna,170A,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1992,True
29989,20001211X14316,Accident,1992-03-08,United States,Non-Fatal,Substantial,,cessna,210G,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1992,True
29990,20001211X14290,Accident,1992-03-08,United States,Non-Fatal,Substantial,,piper,PA-28-180,No,1.0,Reciprocating,Personal,0.0,2.0,2.0,0.0,VMC,Maneuvering,1992,True
29994,20001211X14203,Accident,1992-03-08,United States,Unavailable,Substantial,,cessna,185,No,0.0,Unknown,Public Aircraft,0.0,0.0,0.0,0.0,VMC,,1992,False
29997,20001211X14262,Accident,1992-03-09,United States,Non-Fatal,Substantial,,cessna,177BII,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1992,True
29998,20001211X14193,Accident,1992-03-09,United States,Non-Fatal,Substantial,,piper,PA-18A-150,No,1.0,Reciprocating,Business,0.0,2.0,0.0,0.0,IMC,Maneuvering,1992,True
29999,20001211X14338,Accident,1992-03-10,United States,Non-Fatal,Substantial,,cessna,182,No,1.0,Reciprocating,Unknown,0.0,1.0,0.0,0.0,VMC,Takeoff,1992,True
30000,20001211X14343,Accident,1992-03-10,United States,Non-Fatal,Substantial,,piper,PA-38-112,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Descent,1992,True
30001,20001211X14241,Accident,1992-03-10,United States,Non-Fatal,Substantial,,piper,46-310P,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Approach,1992,True
30005,20001211X14315,Accident,1992-03-11,United States,Non-Fatal,Substantial,,cessna,340A,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,1992,True
30007,20001211X14214,Accident,1992-03-11,United States,Non-Fatal,Substantial,,piper,PA-46-310,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1992,True
30008,20001211X14204,Accident,1992-03-11,United States,Non-Fatal,Substantial,,piper,PA-18,No,0.0,Unknown,Public Aircraft,0.0,0.0,0.0,1.0,VMC,,1992,True
